Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
00012025,Mature,Fair,No,,4375.64,152.1,6.4,85.9
00056188,Middle aged,Good,No,,1174.82,11.7,1.2,40.1
00015326,Mature,Fair,No,,45944.18,1161.2,15.7,423.3
00003003,Mature,Fair,No,,21774.62,704.4,12.4,207.8
00058990,Juvenile,Fair,No,,38.36,,,
00013471,Mature,Fair,No,,7309.99,241.0,7.8,213.7
00014626,Middle aged,Good,No,,6796.48,122.0,4.8,252.3
00012330,Mature,Fair,No,,9746.65,331.8,9.3,47.9
00035009,Mature,Good,No,,4971.14,115.7,5.7,31.4
00055582,Juvenile,Good,No,,153.43,2.0,0.6,12.5
00051625,Juvenile,Good,No,,269.7,2.4,0.6,12.5
00003703,Mature,Fair,No,,4565.5,98.6,4.4,135.0
00039146,Juvenile,Good,No,,345.22,3.4,0.8,14.6
00009088,Mature,Fair,No,,12995.54,471.3,11.5,216.4
00057574,Juvenile,Fair,No,,317.17,0.8,0.3,9.3
00017473,Middle aged,Good,No,,1618.21,23.8,2.1,63.0
00022585,Mature,Fair,No,,10209.82,298.4,8.8,173.2
00051628,Middle aged,Fair,No,,6563.46,104.5,4.3,140.5
00053524,Mature,Good,No,,35682.1,906.9,19.1,475.5
00019750,Middle aged,Fair,No,,4854.63,181.9,7.2,54.7
00014312,Middle aged,Fair,No,,10573.38,198.2,6.9,119.3
00050383,Middle aged,Fair,No,,1398.13,20.2,1.8,41.2
00041182,Middle aged,Good,No,,2157.61,27.6,2.7,27.3
00016718,Mature,Fair,No,,15979.27,529.6,12.4,289.9
00054806,Middle aged,Good,No,,1820.48,20.5,1.4,40.2
00031894,Middle aged,Good,No,,4281.79,61.9,3.9,68.0
00056730,Juvenile,Good,No,,215.76,2.4,0.6,9.9
00012535,Mature,Fair,No,,9911.53,181.1,5.8,395.5
00057753,Juvenile,Good,No,,345.22,,,
00021702,Mature,Good,No,,29127.75,1011.2,20.4,794.9
00013969,Mature,Good,No,,21447.74,460.9,12.9,615.5
00038215,Middle aged,Good,No,,2876.82,78.6,4.4,14.2
00059621,,,No,,,,,
00059717,,,No,,,,,
00038298,Mature,Fair,No,,6220.4,215.6,8.0,216.9
00031930,Middle aged,Good,No,,7078.05,129.3,6.0,76.0
00014549,Mature,Good,No,,38067.82,1461.9,25.2,398.2
00032150,Mature,Fair,No,,41771.36,,,
00060074,,,No,,,,,
00010841,Middle aged,Fair,No,,5920.49,103.7,3.9,331.2
00021769,Middle aged,Good,No,,6628.18,252.3,9.7,217.0
00048565,Juvenile,Good,No,,179.8,2.7,0.7,9.3
00001824,Mature,Fair,No,,4718.7,151.6,6.5,120.0
00010315,Middle aged,Good,No,,4660.44,124.5,6.5,63.4
00010619,Mature,Good,No,,29127.75,1002.3,20.2,294.6
00056023,Juvenile,Good,No,,179.8,2.4,0.6,9.9
00003875,Mature,Good,No,,19447.27,496.3,12.5,406.8
00053861,Middle aged,Good,No,,1620.61,12.9,1.6,33.1
00057915,Juvenile,Good,No,,172.61,,,
00057817,Juvenile,Good,No,,153.43,,,
00022567,Mature,Fair,No,,11815.08,266.2,7.7,234.2
00006508,Middle aged,Good,No,,13962.98,391.5,11.6,242.2
00010184,Mature,Good,No,,15224.1,459.8,12.0,519.8
00032481,Middle aged,Good,No,,1057.23,19.8,1.8,11.6
00007881,Middle aged,Fair,No,,4233.95,182.2,7.1,88.5
00059030,Juvenile,Good,No,,2157.61,,,
00018639,Mature,Fair,No,,8630.45,383.6,11.0,122.4
00020267,Middle aged,Fair,No,,783.21,27.7,1.9,25.7
00018589,Mature,Good,No,,10939.1,300.5,9.9,50.8
00017648,Mature,Good,No,,199436.11,5947.4,12.2,3236.9
00036264,Middle aged,Poor,No,,1242.78,16.2,1.6,12.6
00004829,Mature,Good,No,,15787.96,850.2,18.4,170.1
00014521,Mature,Good,No,,80910.43,2978.6,38.5,929.0
00049633,Middle aged,Good,No,,460.29,8.6,1.4,41.8
00042089,Juvenile,Poor,No,,269.7,1.3,0.4,2.8
00016149,Mature,Fair,No,,26512.73,1154.2,19.6,470.7
00028435,Mature,Fair,No,,12995.54,308.7,8.3,76.2
00037053,Mature,Good,No,,2899.83,125.2,6.4,81.0
00020293,Mature,Good,No,,39147.71,1411.2,24.8,517.2
00019827,Mature,Good,No,,47129.79,1950.4,30.0,904.4
00041641,Mature,Fair,No,,27185.9,625.5,11.0,276.7
00032492,Middle aged,Fair,No,,9389.93,141.5,5.7,187.0
00010826,Middle aged,Fair,No,,3806.03,52.1,2.0,92.7
00011945,Middle aged,Fair,No,,24273.14,280.0,5.5,211.8
00060156,Mature,Good,No,,2202.56,,,
00007294,Mature,Good,No,,32894.95,1226.2,22.7,248.7
00039054,Middle aged,Fair,No,,552.35,7.8,1.0,9.9
00019429,Mature,Good,No,,85790.95,3027.4,39.0,1772.6
00042605,Middle aged,Good,No,,1820.48,34.7,2.8,91.6
00002752,Middle aged,Fair,No,,6450.78,185.1,5.3,301.5
00020918,Middle aged,Good,No,,1870.64,54.0,3.9,50.8
00012577,Middle aged,Fair,No,,12411.54,419.1,9.9,96.1
00057384,Juvenile,Good,No,,528.62,5.3,0.9,14.1
00055970,Juvenile,Good,No,,153.43,0.7,0.2,8.1
00017479,Middle aged,Fair,No,,4861.82,129.3,5.4,107.4
00049882,Juvenile,Fair,No,,233.02,3.7,0.7,11.8
00001335,Mature,Good,No,,73489.32,2259.2,29.1,904.4
00051053,Middle aged,Excellent,No,,7491.71,3.7,0.0,39.9
00017943,Mature,Fair,No,,4893.46,138.9,5.3,35.4
00022146,Mature,Fair,No,,20227.61,426.7,10.9,420.2
00034583,Middle aged,Fair,No,,3883.7,68.2,3.3,140.5
00018493,Mature,Good,No,,35350.31,1339.1,23.9,570.1
00004005,Mature,Good,No,,15957.69,388.6,10.7,195.9
00005502,Middle aged,Good,No,,11223.89,163.9,5.7,395.9
00055523,Juvenile,Dead,No,,153.43,1.4,0.5,6.7
00057447,Juvenile,Good,No,,0.0,,,
00020999,Middle aged,Good,No,,5523.49,115.7,5.5,133.2
00027199,Mature,Good,No,,13808.71,384.0,10.7,309.6
00059149,Middle aged,Fair,No,,18134.72,,,
00053343,Middle aged,Good,No,,17476.66,496.1,12.4,244.0
00053812,Juvenile,Good,No,,1242.78,3.2,0.7,5.0
00054772,Middle aged,Fair,No,,1035.65,19.4,1.8,17.6
00034068,Middle aged,Fair,No,,1691.57,28.7,2.2,47.5
00055752,Not Applicable,Not applicable,No,,0.0,,,
00051949,Middle aged,Good,No,,5638.56,79.4,3.8,86.7
00056363,Juvenile,Good,No,,179.8,2.6,0.7,9.9
00021263,Mature,Good,No,,86304.46,3534.6,41.1,1102.0
00058890,Juvenile,Fair,No,,317.17,,,
00018147,Middle aged,Good,No,,1454.95,45.6,3.3,23.8
00022175,Mature,Fair,No,,21878.18,709.1,14.7,679.3
00013322,Middle aged,Good,No,,7257.13,122.0,4.8,56.0
00019638,Middle aged,Good,No,,2854.52,89.7,5.3,63.4
00046866,Juvenile,Good,No,,958.94,3.7,0.8,3.5
00048351,Juvenile,Fair,No,,153.43,1.4,0.4,3.5
00020178,Mature,Good,No,,55851.93,2356.1,33.5,412.9
00033241,Middle aged,Good,No,,1380.87,28.0,2.5,42.1
00000076,Mature,Fair,No,,20971.98,755.7,14.0,650.3
00057123,Juvenile,Good,No,,299.67,2.4,0.6,8.5
00026246,Mature,,No,,5482.49,215.6,7.9,39.3
00047578,Middle aged,Fair,No,,3452.18,35.5,2.5,68.0
00037402,Mature,Good,No,,1456.39,28.4,2.5,12.8
00056839,Juvenile,Good,No,,269.7,2.3,0.6,9.0
00032838,Mature,Fair,No,,3728.35,124.5,5.8,63.4
00007853,Mature,Good,No,,103005.45,3755.0,42.5,1214.3
00018656,Mature,Fair,No,,5592.53,107.8,4.8,109.0
00001687,Mature,Fair,No,,2589.13,79.5,4.4,71.1
00037336,Middle aged,Good,No,,1035.66,16.0,1.8,25.2
00036179,Middle aged,Good,No,,863.04,5.9,0.7,19.1
00052845,Middle aged,Good,No,,460.29,3.7,0.8,2.6
00003260,Middle aged,Good,No,,21044.8,557.4,14.3,352.1
00040437,Middle aged,Good,No,,1213.66,39.2,3.3,44.0
00001426,Mature,Fair,No,,11968.27,523.5,13.5,240.3
00009678,Mature,Fair,No,,22843.71,1020.0,18.3,626.0
00029814,Juvenile,Fair,No,,422.9,5.5,0.9,12.6
00006247,Over Mature,Fair,No,,59816.54,1875.4,21.7,1028.8
00019767,Middle aged,Fair,No,,14828.06,479.4,10.7,56.0
00009951,Mature,Good,No,,60902.89,3190.6,40.1,605.0
00012440,Mature,Fair,No,,7929.22,315.2,10.0,216.7
00055966,Juvenile,Dead,No,,153.43,1.4,0.4,5.7
00009916,Mature,Fair,No,,77034.28,3515.8,37.8,605.0
00001313,Mature,Good,No,,121792.85,4404.4,37.2,929.0
00007544,Mature,Fair,No,,22020.58,,,
00008524,Middle aged,Good,No,,31905.68,1128.2,21.6,111.9
00000983,Mature,Good,No,,59071.09,1326.3,23.9,823.5
00013373,Middle aged,Good,No,,10573.38,188.6,7.6,190.5
00032148,Mature,Good,No,,3171.69,,,
00002762,Middle aged,Good,No,,20227.61,618.6,15.2,888.0
00056628,Juvenile,Good,No,,115.07,1.4,0.4,3.2
00047409,Mature,Good,No,,932.09,23.1,2.4,7.3
00034440,Mature,Good,No,,69595.91,2824.3,37.2,434.6
00057204,Juvenile,Good,No,,115.07,,,
00057763,Juvenile,Good,No,,215.76,,,
00053608,Middle aged,Fair,No,,1268.68,28.4,2.2,41.8
00008579,Middle aged,Good,No,,14020.16,240.4,6.3,416.8
00000802,Mature,Good,No,,41943.97,1213.5,22.6,594.5
00055848,Juvenile,Good,No,,115.07,1.4,0.5,7.2
00033061,Middle aged,Good,No,,1640.86,9.9,1.4,22.5
00000772,Middle aged,Fair,No,,3106.96,125.2,5.7,157.7
00010840,Middle aged,Fair,No,,8729.69,163.9,5.1,112.6
00012683,Mature,Fair,No,,3314.09,75.6,3.9,35.6
00005239,Mature,Fair,No,,3480.95,101.3,5.1,39.3
00002057,Mature,Fair,No,,11486.04,319.7,9.2,366.9
00046450,Middle aged,Good,No,,3568.15,1.8,0.4,202.4
00021771,Mature,Good,No,,34953.31,1002.3,20.2,888.0
00028894,Mature,Fair,No,,5825.55,215.6,8.0,66.7
00050594,Juvenile,Fair,No,,233.02,1.6,0.5,3.5
00056387,Middle aged,Good,No,,3145.8,,,
00026959,Middle aged,Fair,No,,3132.85,86.9,4.3,34.4
00056233,Not Applicable,Not applicable,No,,0.0,,,
00000877,Middle aged,Good,No,,6343.38,169.9,7.6,53.8
00031973,Mature,Fair,No,,7788.98,383.6,11.0,232.8
00055234,Juvenile,Good,No,,233.02,1.4,0.5,2.6
00008733,Mature,Fair,No,,8837.58,201.0,7.0,271.9
00050725,Middle aged,Fair,No,,1631.15,39.0,2.7,39.7
00031276,Mature,Good,No,,46225.75,1411.2,24.8,697.8
00005339,Mature,Fair,No,,2854.52,74.8,3.9,27.2
00056798,Juvenile,Fair,No,,647.28,14.8,1.7,19.4
00010566,Mature,Fair,No,,12945.67,370.4,9.9,199.5
00013833,Mature,Good,No,,28195.67,1472.6,27.3,352.2
00021375,Mature,Good,No,,51740.6,739.2,11.0,592.3
00054386,Juvenile,Good,No,,271.85,1.8,0.4,4.5
00030917,Mature,Fair,No,,24535.28,554.2,10.2,215.2
00057913,Juvenile,Good,No,,239.74,,,
00041061,Mature,Poor,No,,22020.58,487.9,9.5,72.1
00002232,Mature,Good,No,,21044.8,680.4,16.1,341.4
00011543,Mature,Good,No,,12411.54,410.5,11.2,442.7
00045618,Middle aged,Good,No,,1242.78,23.3,2.2,72.2
00022714,Mature,Fair,No,,9250.76,206.6,6.1,25.4
00044797,Middle aged,Fair,No,,4893.46,102.5,5.1,40.2
00014043,Mature,Fair,No,,15979.27,524.0,12.3,340.3
00015046,Mature,Good,No,,20419.63,719.4,16.7,372.8
00026617,Middle aged,,Yes,Trunk decay,7258.21,143.7,5.7,97.8
00019276,Mature,Fair,No,,40242.69,1562.3,23.4,904.4
00032310,Middle aged,Good,No,,3145.8,36.6,2.4,49.3
00010763,Mature,Good,No,,11840.97,430.4,12.0,251.3
00059404,Not Applicable,Not applicable,No,,0.0,,,
00015135,Middle aged,Fair,No,,3480.95,80.3,4.0,124.4
00021435,Middle aged,Good,No,,11223.89,195.3,7.7,173.2
00001016,Mature,Fair,No,,5529.24,186.0,6.7,111.9
00055870,Juvenile,Good,No,,115.07,1.5,0.5,6.2
00022484,Mature,Good,No,,55983.55,2431.3,34.1,420.2
00051451,Middle aged,Good,No,,317.17,6.2,1.1,11.6
00011799,Mature,Fair,No,,2097.2,52.3,3.2,61.7
00021113,Mature,Dead,No,,4971.14,109.4,4.8,122.4
00032815,Middle aged,Fair,No,,1409.64,33.1,2.6,50.9
00042025,Middle aged,Good,No,,1268.68,33.7,3.0,9.9
00056222,Juvenile,Good,No,,239.74,2.3,0.6,8.6
00013862,Middle aged,Fair,No,,7482.59,292.5,9.4,242.2
00011903,Middle aged,Good,No,,3495.33,32.3,1.7,88.4
00059124,Juvenile,Fair,No,,179.8,,,
00020942,Mature,Good,No,,11185.06,301.4,9.7,271.9
00013540,Middle aged,Good,No,,19661.24,569.8,15.8,262.4
00016727,Mature,Good,No,,142153.15,4950.4,33.4,1235.3
00054976,Juvenile,Good,No,,161.82,2.4,0.6,10.7
00021527,Mature,Good,No,,56624.36,896.2,12.2,504.1
00022333,Mature,Good,No,,30448.21,1132.5,19.9,546.0
00014683,Mature,Fair,No,,20419.63,446.3,9.1,570.1
00006769,Mature,Good,No,,31905.68,755.4,13.7,390.6
00001348,Middle aged,Good,No,,13291.97,271.9,8.4,434.6
00050123,Juvenile,Good,No,,179.8,2.7,0.7,9.9
00058022,Juvenile,Dead,No,,2025.76,,,
00009597,Middle aged,Poor,No,,1044.28,19.7,1.8,12.6
00054620,Middle aged,Fair,No,,2485.57,9.7,1.1,13.7
00002500,Mature,Fair,No,,16835.84,673.7,14.3,323.6
00057880,Juvenile,Good,No,,115.07,,,
00058960,,Fair,No,,,,,
00047703,Middle aged,Fair,No,,3145.8,51.7,3.1,39.6
00010760,Mature,Good,No,,3932.25,139.1,6.3,69.0
00047134,Juvenile,Good,No,,414.26,6.2,1.1,11.6
00019401,Mature,Good,No,,66887.03,2203.2,32.2,809.2
00009632,Mature,Good,No,,7078.05,108.8,4.8,143.7
00014491,Mature,Good,No,,18641.76,558.1,15.6,241.8
00020983,Mature,Fair,No,,4971.14,104.0,4.7,35.1
00002192,Mature,Good,No,,9397.59,950.9,17.9,292.4
00020258,Mature,Good,No,,20721.7,585.6,14.9,282.2
00047734,Mature,Good,No,,1519.32,23.8,2.2,41.8
00010894,Mature,Fair,No,,16321.25,354.2,8.5,304.6
00002234,Mature,Fair,No,,16321.25,375.7,10.1,416.8
00010325,Mature,Good,No,,26287.26,554.2,11.5,442.7
00054449,Juvenile,Poor,No,,191.79,1.4,0.5,13.2
01100217,Juvenile,Good,No,,115.07,,,
00021655,Mature,Good,No,,7929.22,315.2,11.2,82.4
00020251,Mature,Good,No,,43584.83,755.4,13.7,648.8
00020194,Mature,Good,No,,11486.04,306.4,10.0,398.2
00022033,Middle aged,Good,No,,14585.45,676.9,16.0,130.4
00010066,Mature,Good,No,,37003.04,1362.9,24.3,442.0
00016872,Mature,Good,No,,25803.11,723.0,12.3,354.9
00054647,Juvenile,Good,No,,179.8,0.7,0.3,2.0
00015301,Mature,Fair,No,,13291.97,200.1,5.7,277.7
00004239,Mature,Fair,No,,3106.96,124.5,5.8,120.0
00053525,Middle aged,Good,No,,7078.05,148.1,6.6,89.1
00047065,Middle aged,Good,No,,1456.39,22.7,2.4,23.6
00012812,Mature,Good,No,,78644.93,2415.5,34.1,1857.2
00018473,Mature,Good,No,,11815.08,270.6,8.7,305.8
00059190,Mature,Good,No,,0.0,,,
00021072,Middle aged,Good,No,,3452.18,71.5,4.1,67.7
00020876,Mature,Good,No,,14913.41,652.0,17.2,296.6
00032473,Middle aged,Good,No,,5834.18,94.5,4.9,164.9
00008674,Mature,Good,No,,92634.35,3634.5,43.3,1451.0
00020853,Mature,Fair,No,,31905.68,827.5,13.5,252.4
00016697,Mature,Good,No,,24194.02,719.4,16.7,669.1
00004684,Mature,Fair,No,,14516.41,903.1,18.2,97.2
00055986,Juvenile,Good,No,,552.35,3.8,0.8,25.2
00051199,Middle aged,Good,No,,1268.68,19.7,2.0,47.5
00013176,Mature,Good,No,,77889.78,2720.1,32.6,491.2
00003017,Mature,Fair,No,,7384.42,359.4,10.6,173.0
00055105,Middle aged,Good,No,,582.56,9.2,1.3,1.8
00021887,Mature,Fair,No,,13298.08,364.5,9.9,199.5
00003650,Mature,Fair,No,,35953.35,869.7,13.3,341.4
00032384,Middle aged,Good,No,,3171.69,65.5,3.9,68.3
00021018,Mature,Good,No,,3728.35,112.3,5.4,85.9
00026249,Mature,,No,,16708.54,438.1,10.3,549.1
00059142,Juvenile,Good,No,,64.73,,,
00054375,Middle aged,Good,No,,611.69,1.8,0.4,4.5
00008498,Mature,Good,No,,26287.26,878.7,18.7,278.2
00059052,Juvenile,Good,No,,958.94,,,
00003652,Mature,Fair,No,,38067.82,930.3,13.8,112.6
00038885,Middle aged,Good,No,,3932.25,166.8,7.6,81.0
00027508,Mature,Fair,No,,14913.41,317.4,7.4,142.9
00049395,Juvenile,Good,No,,460.29,2.7,0.7,3.5
00017885,Mature,Fair,No,,29127.75,953.3,17.6,1314.1
00055957,Middle aged,Good,No,,3424.13,138.3,6.8,60.8
00000312,Middle aged,Fair,No,,5482.49,252.3,8.6,35.1
00003361,Mature,Fair,No,,6167.17,315.2,10.0,254.3
00020908,Middle aged,Good,No,,2209.39,34.1,2.7,12.6
00028216,Mature,Good,No,,30931.52,1133.5,21.7,225.4
00018785,Middle aged,Fair,No,,2378.77,90.4,4.7,44.5
00053648,Mature,Good,No,,16182.09,642.9,15.6,412.9
00006693,Mature,Good,No,,34184.66,1223.7,22.8,1029.0
00011647,Over Mature,Poor,No,,10194.71,579.1,14.0,272.7
00019558,Mature,Fair,No,,19426.6,503.2,10.3,478.6
00045070,Mature,Fair,No,,8314.0,126.3,3.6,301.1
00005322,Mature,Fair,No,,4660.44,273.5,8.3,18.0
00046059,Middle aged,Good,No,,4281.79,35.1,2.8,89.1
00050008,Middle aged,Good,No,,870.23,16.2,1.8,24.8
00016134,Middle aged,Good,No,,14020.16,261.4,7.9,262.7
00028212,Not Applicable,Good,No,,24242.92,723.8,16.6,388.0
00026392,Mature,,No,,7767.4,,,
00057820,Juvenile,Good,No,,153.43,,,
00010126,Middle aged,Good,No,,3480.95,89.7,4.8,67.7
00058663,,,No,,,,,
00053647,Mature,Good,No,,10356.53,378.1,11.4,412.9
00055824,Juvenile,Good,No,,115.07,1.5,0.5,6.2
00052831,Juvenile,Good,No,,1044.28,3.0,0.7,3.7
00054067,Not Applicable,Good,No,,153.43,1.4,0.5,3.5
00054885,Mature,Fair,No,,1456.39,32.6,2.4,9.9
00017777,Mature,Good,No,,24977.46,988.8,20.0,296.5
00010190,Middle aged,Good,No,,4315.22,58.7,3.6,98.3
00009069,Middle aged,Good,No,,6343.38,151.8,6.6,153.6
00035018,Mature,Fair,No,,1242.78,21.8,1.9,55.7
00055572,Juvenile,Fair,No,,233.02,3.7,0.7,10.7
00046861,Juvenile,Fair,No,,5394.03,130.0,5.2,97.3
00014768,Middle aged,Fair,No,,3452.18,61.1,3.4,57.4
00054142,Not Applicable,Good,No,,115.07,1.4,0.5,3.6
00001882,Mature,Fair,No,,7832.13,211.1,6.8,169.3
00040428,Middle aged,Fair,No,,3452.18,34.5,1.6,24.2
00058757,Juvenile,Poor,No,,153.43,,,
00040548,Mature,Fair,No,,4045.52,101.3,5.1,55.0
00013967,Mature,Good,No,,26253.82,532.4,14.0,358.0
00059232,Juvenile,Good,No,,239.74,,,
00059882,,,No,,,,,
00020158,Middle aged,Fair,No,,6472.84,155.5,6.0,119.3
00022509,Mature,Good,No,,14020.16,303.2,10.1,301.6
00014052,Mature,Fair,No,,4530.98,215.6,8.0,124.4
00004371,Middle aged,Fair,No,,11185.06,301.3,8.3,319.9
00060107,,,No,,,,,
00015701,Mature,Fair,No,,16321.25,355.8,9.8,167.2
00003726,Middle aged,Fair,No,,8729.69,183.3,6.6,155.2
00001441,Mature,Good,No,,14619.98,448.7,12.6,340.3
00047157,Middle aged,Good,No,,2336.69,23.1,2.4,41.8
00051984,Juvenile,Good,No,,349.53,1.4,0.5,10.3
00055650,Juvenile,Good,No,,863.04,3.7,0.8,21.9
00026584,Middle aged,Good,No,,25253.76,,,
00028103,Mature,Good,No,,135191.62,4831.0,34.0,852.1
00032908,Middle aged,Good,No,,4281.79,78.5,4.5,119.3
00046470,Middle aged,Good,No,,1268.68,20.5,2.1,91.6
00020439,Mature,Fair,No,,38067.82,577.4,10.5,277.7
00032609,Middle aged,Good,No,,1044.28,7.7,1.2,3.5
00060108,,,No,,,,,
00002305,Middle aged,Good,No,,5523.49,,,
00006958,Mature,Good,No,,146891.27,4934.2,33.2,1314.1
00026972,Middle aged,Good,No,,15979.27,518.3,13.7,328.5
00047720,Juvenile,Fair,No,,863.04,13.2,1.4,31.7
00056399,Juvenile,Good,No,,97.09,0.5,0.2,41.4
00060089,,,No,,,,,
00057565,Juvenile,Good,No,,153.43,,,
00014537,Mature,Good,No,,16781.42,593.2,13.6,305.8
00057961,Juvenile,Good,No,,191.79,,,
00059853,Juvenile,Good,No,,258.91,,,
00015912,Mature,Fair,No,,12694.3,254.8,6.6,124.4
00038010,Mature,Fair,No,,2378.77,90.4,4.7,52.4
00010295,Mature,Fair,No,,16777.58,619.6,10.7,376.0
00058876,Juvenile,Fair,No,,0.0,,,
00014655,Mature,Good,No,,22531.94,949.8,19.6,295.1
00008335,Mature,Fair,No,,13962.98,327.9,8.1,253.7
00027527,Middle aged,Good,No,,9250.76,175.5,6.0,297.6
00013486,Middle aged,Fair,No,,7759.73,205.2,7.1,68.0
00041293,Juvenile,Good,No,,161.82,2.7,0.7,19.4
00005473,Middle aged,Fair,No,,10904.57,269.6,7.2,207.1
00049700,Juvenile,Fair,No,,317.17,6.2,1.0,11.6
00039152,Middle aged,Good,No,,3145.8,19.9,2.0,47.5
00011116,Mature,Fair,No,,8204.32,383.6,11.0,23.5
00031567,Mature,Fair,No,,2184.58,34.7,2.5,63.6
00034464,Middle aged,Good,No,,2338.31,32.0,2.3,74.4
00014541,Mature,Good,No,,30931.52,,,
00050531,Mature,Good,No,,14619.98,342.4,10.8,442.0
00037413,Middle aged,Good,No,,1558.87,53.4,3.9,29.6
00058030,Juvenile,Good,No,,2494.19,,,
00015601,Mature,Good,No,,18131.49,351.7,8.9,86.7
00013496,Mature,Good,No,,29370.48,810.6,17.9,230.9
00018350,Mature,Good,No,,11413.76,611.0,16.3,251.3
00001205,Mature,Fair,No,,28360.6,781.0,11.2,301.6
00050373,Middle aged,Fair,No,,1174.82,16.2,1.6,38.0
00020332,Mature,Good,No,,11815.08,305.7,9.5,264.6
00019275,Mature,Good,No,,27185.9,850.2,18.4,787.8
00049694,Juvenile,Good,No,,239.74,3.4,0.8,27.5
00011500,Mature,Fair,No,,16915.67,903.1,18.2,348.9
00013716,Middle aged,Fair,No,,11223.89,149.3,5.1,73.4
00002347,Middle aged,Good,No,,6482.42,,,
00045739,Middle aged,Good,No,,1044.28,9.2,1.3,13.1
00059763,Middle aged,Good,No,,863.04,,,
00026564,Middle aged,Good,No,,719.2,12.6,1.5,8.6
00018722,Mature,Good,No,,55851.93,1747.0,28.0,340.3
00044824,Middle aged,Good,No,,2217.06,20.1,2.0,12.6
00055600,Juvenile,Good,No,,269.7,1.8,0.4,4.5
00059888,Middle aged,Good,No,,1941.85,,,
00056641,Juvenile,Dead,No,,115.07,1.5,0.5,3.3
00012515,Mature,Fair,No,,911.59,25.7,2.0,64.1
00046031,Juvenile,Good,No,,475.76,1.8,0.4,12.5
00017846,Middle aged,Good,No,,2596.33,48.1,3.0,149.5
00028107,Mature,Good,No,,33175.43,1073.8,19.3,450.0
00020709,Mature,Good,No,,23681.94,702.2,16.4,428.0
00049812,Juvenile,Good,No,,194.18,3.7,0.8,12.6
00006444,Middle aged,Fair,No,,17127.12,327.6,8.1,187.9
00021171,Mature,Good,No,,68508.48,989.2,13.4,672.1
00053717,Middle aged,Good,No,,4565.5,75.1,4.2,149.5
00006901,Mature,Good,No,,6472.84,215.6,8.9,276.3
00054677,Mature,Good,No,,17476.66,533.0,13.1,379.2
00016700,Middle aged,Good,No,,4861.82,111.3,5.6,362.1
00013075,Mature,Good,No,,17398.98,554.9,14.2,50.5
00018733,Mature,Good,No,,65314.13,2637.8,35.8,420.2
01100492_1,Juvenile,Good,No,,115.07,,,
00021305,Mature,Good,No,,29032.82,938.8,17.9,458.8
00014558,Mature,Good,No,,25403.72,885.5,18.7,401.9
00056828,Juvenile,Good,No,,115.07,,,
00046160,Middle aged,Good,No,,1380.87,46.6,3.6,20.4
00003227,Mature,Good,No,,2853.44,112.1,6.1,120.0
00057877,Juvenile,Good,No,,191.79,,,
00003035,Mature,Good,No,,12583.19,187.5,6.2,276.7
00020519,Mature,Good,No,,9911.53,214.2,7.0,116.5
00045323,Juvenile,Good,No,,317.17,4.3,0.9,9.9
00013365,Mature,Fair,No,,33899.31,701.8,11.7,277.7
00012680,Mature,Fair,No,,26287.26,945.4,17.4,169.4
00020909,Middle aged,Good,No,,3106.96,47.7,3.3,39.3
00048393,Juvenile,Good,No,,873.84,9.7,1.4,33.2
00004993,Mature,Fair,No,,7832.13,196.7,6.9,144.4
00010909,Mature,Fair,No,,21878.18,573.1,11.1,343.3
00008308,Middle aged,Fair,No,,5825.55,215.6,7.9,214.9
00009059,Over Mature,Fair,No,,34918.79,840.2,13.0,86.7
00034446,Middle aged,Good,No,,2184.58,24.1,2.3,60.0
00055433,Juvenile,Good,No,,179.8,2.4,0.6,3.5
00037164,Mature,Good,No,,59071.09,1722.4,27.9,761.7
00028734,Mature,Fair,No,,6220.4,184.6,6.6,57.3
00020078,Middle aged,Fair,No,,14507.78,386.7,10.2,199.5
00037617,Mature,Fair,No,,2589.13,84.4,4.4,133.2
00028087,Mature,Good,No,,5443.66,138.3,6.8,124.0
00056603,Juvenile,Good,No,,172.61,1.4,0.5,3.2
00020386,Mature,Good,No,,11418.08,412.2,11.9,112.5
00015072,Mature,Good,No,,17398.98,586.0,14.8,289.9
00053756,Juvenile,Good,No,,258.91,4.3,0.9,11.6
00060400,,,No,,,,,
00017995,Mature,Good,No,,41352.78,1549.9,26.2,747.4
00053734,Middle aged,Good,No,,1941.85,5.0,0.6,23.6
00051291,Mature,Fair,No,,80402.31,2718.3,32.5,787.8
00019009,Mature,Good,No,,9845.9,288.6,9.5,173.2
00011734,Juvenile,Good,No,,1941.85,21.2,1.4,20.0
00051102,Middle aged,Good,No,,352.41,4.3,0.9,3.5
00018977,Mature,Good,No,,82536.72,1389.7,15.7,590.3
00057342,Juvenile,Good,No,,172.61,,,
00021223,Middle aged,Good,No,,8837.58,186.4,7.4,58.5
00021001,Mature,Fair,No,,43506.08,1378.1,19.8,803.9
00020318,Middle aged,Good,No,,11893.83,191.0,5.9,207.8
00021133,Mature,Good,No,,7258.21,162.6,6.9,68.0
00000870,Middle aged,Fair,No,,5394.03,114.3,4.8,85.3
00060037,,,No,,,,,
00019033,Over Mature,Good,No,,13808.71,305.5,9.9,132.7
00018132,Middle aged,Fair,No,,2454.88,40.9,2.8,58.5
