Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
00040987,Middle aged,Good,No,,3145.8,43.3,2.8,47.9
00016390,Mature,Fair,No,,5834.18,124.9,5.3,18.3
00057485,Juvenile,Fair,No,,352.41,5.2,0.8,9.8
00049473,Juvenile,Good,No,,188.79,,,
00013353,Mature,Fair,No,,12411.54,455.2,10.5,336.9
00052575,Middle aged,Good,No,,932.09,23.1,2.4,92.7
00018980,Mature,Good,No,,88039.18,2911.3,36.9,575.4
00009606,Mature,Good,No,,14507.78,384.0,10.7,444.5
00006448,Middle aged,Fair,No,,7257.13,235.5,6.7,236.2
00000644,Middle aged,Good,No,,11486.04,343.1,10.7,258.9
00050533,Middle aged,Good,No,,524.3,2.7,0.7,11.6
00035109,Middle aged,Good,No,,3646.36,101.3,5.7,88.5
00005494,Mature,Good,No,,14272.6,269.7,7.6,265.0
00031698,Mature,Fair,No,,3883.7,39.8,2.0,50.2
00018297,Mature,Good,No,,12082.63,187.5,6.2,268.1
00004339,Mature,Good,No,,17525.21,554.2,11.5,85.3
00013387,Mature,Fair,No,,18879.1,334.3,7.7,164.9
00000862,Middle aged,Fair,No,,7767.4,159.2,5.8,190.5
00042034,Middle aged,Good,No,,6563.46,70.6,4.3,195.6
00001433,Mature,Good,No,,14141.7,862.9,19.9,132.7
00053222,Juvenile,Dead,Yes,"Dead, dying",153.43,1.4,0.5,3.5
00017127,Middle aged,Fair,No,,7269.71,336.2,10.2,67.7
00051500,Mature,Fair,No,,3424.13,90.7,4.4,338.3
00015622,Mature,Fair,No,,13485.08,388.0,8.4,25.7
00017126,Mature,Fair,No,,14203.79,455.4,11.3,144.4
00003174,Middle aged,Fair,No,,2796.26,65.4,3.6,86.7
00034555,Middle aged,Good,No,,12306.48,233.3,8.6,146.8
00041758,Middle aged,Fair,No,,3452.18,69.3,3.7,58.5
00001471,Middle aged,Fair,No,,10209.82,343.1,9.5,157.7
00013861,Middle aged,Fair,No,,4854.63,215.6,7.9,85.9
00031271,Mature,Good,No,,33899.31,1042.6,20.7,594.5
00020882,Mature,Fair,No,,91354.35,1848.5,20.5,915.4
00057693,Juvenile,Good,No,,191.79,,,
00052012,Middle aged,Good,No,,970.92,12.8,1.6,22.5
00052884,Juvenile,Good,No,,179.8,1.4,0.5,10.7
00048172,Juvenile,Fair,No,,414.26,4.2,0.8,11.8
00016216,Middle aged,Fair,No,,5834.18,114.3,4.8,149.5
00015584,Middle aged,Fair,No,,4971.14,114.3,4.8,109.5
00012225,Mature,Good,No,,31905.68,1176.6,22.1,225.4
00059983,Middle aged,Good,No,,9072.76,,,
00039132,Middle aged,Fair,No,,1941.85,16.0,1.8,25.2
00058298,Juvenile,Good,No,,115.07,,,
00015971,Mature,Fair,No,,8314.0,254.0,7.5,135.0
00049539,Middle aged,Good,No,,647.28,4.3,0.9,25.2
00059028,Mature,Poor,No,,31155.91,,,
00014870,Mature,Fair,No,,3424.13,112.1,5.4,177.6
00054967,Juvenile,Good,No,,422.9,0.8,0.2,5.7
00054639,Mature,Good,No,,11746.99,139.0,4.4,50.2
00003781,Mature,Good,No,,31905.68,1145.5,21.9,460.3
00002035,Mature,Good,No,,123977.43,4171.2,38.7,1337.7
00059175,Juvenile,Good,No,,613.72,,,
00019751,Mature,Fair,No,,6167.17,315.2,10.0,104.3
00052441,Mature,Fair,No,,1035.65,23.1,2.1,3.5
00015116,Middle aged,Fair,No,,5706.88,82.0,3.9,77.1
00045409,Juvenile,Good,No,,115.07,1.5,0.5,3.3
00059129,Mature,Poor,No,,4142.62,,,
00020381,Mature,Fair,No,,11418.08,414.7,10.7,125.9
00006621,Middle aged,Good,No,,11815.08,258.1,7.6,195.9
00054953,Juvenile,Good,No,,86.3,1.5,0.5,3.3
00057640,Juvenile,Dead,No,,172.61,,,
00049966,Middle aged,Good,No,,776.74,6.1,0.7,11.8
00022057,Middle aged,Good,No,,8165.48,166.4,7.0,67.7
00052629,Middle aged,Good,No,,1618.21,32.6,2.7,19.4
00041325,Juvenile,Good,No,,317.17,5.4,1.0,3.0
00003210,Mature,Fair,No,,6291.59,95.2,3.7,142.9
00056944,Juvenile,Good,No,,179.8,1.4,0.4,3.5
00038416,Mature,Good,No,,19884.55,493.4,12.2,225.4
00041477,Juvenile,Fair,No,,4660.44,78.7,3.6,63.6
00010132,Mature,Good,No,,28312.17,419.5,12.1,463.0
00020343,Mature,Fair,No,,15534.8,240.4,6.3,350.2
00053366,Juvenile,Good,No,,115.07,1.6,0.5,8.6
00020617,Middle aged,Good,No,,8837.58,199.9,7.4,242.2
00033261,Veteran,Fair,No,,90127.75,4816.3,30.5,450.6
01100241,Juvenile,Good,No,,172.61,,,
00048229,Middle aged,Good,No,,1841.16,20.5,2.1,12.6
00020506,Mature,Fair,No,,13321.09,204.2,6.2,140.5
00058993,Middle aged,Fair,No,,6742.54,,,
00015353,Mature,Good,No,,70149.34,2324.2,33.2,697.8
00013873,Middle aged,Fair,No,,20544.78,411.1,9.1,384.7
00053701,Juvenile,Good,No,,179.8,2.4,0.6,2.6
00001552,Mature,Good,No,,17127.12,350.4,9.4,379.1
00010016,Middle aged,Fair,No,,3646.36,138.3,6.1,88.5
00004844,Middle aged,Good,No,,15224.1,409.7,11.9,157.7
00059890,Juvenile,Good,No,,179.8,,,
00011827,Mature,Fair,No,,20713.07,811.9,15.0,47.5
00016393,Middle aged,Fair,No,,7258.21,162.4,6.1,18.3
00050843,Middle aged,Fair,No,,2494.19,46.1,2.9,27.1
00005832,Mature,Fair,No,,24535.28,369.6,8.1,112.6
00047533,Middle aged,Good,No,,2589.13,27.6,2.4,63.4
00006035,Mature,Good,No,,1870.64,45.1,3.3,35.6
01100530_1,Juvenile,Good,No,,172.61,,,
00018450,Mature,Good,No,,32285.06,1198.3,20.3,411.3
00017897,Mature,Good,No,,18879.1,619.3,15.2,240.3
00049738,Middle aged,Fair,No,,2771.33,66.4,3.7,101.2
00053209,Middle aged,Fair,No,,582.56,6.1,1.0,11.8
00011513,Mature,Fair,No,,5443.66,136.8,5.5,63.9
00053076,Mature,Fair,No,,18262.02,397.8,9.6,182.3
01100508,Middle aged,Good,No,,1215.46,16.0,1.8,12.6
